movie,title,genres,year,Rating,RottenTomato
1153,Raw Deal,Film-Noir,1948,3,63
1254,"Treasure of the Sierra Madre, The",Action|Adventure|Drama|Western,1948,7,50
1941,Hamlet,Drama,1948,5,76
2176,Rope,Crime|Drama|Thriller,1948,2,84
7919,Drunken Angel (Yoidore tenshi),Drama|Film-Noir,1948,6,58
25937,Easter Parade,Musical|Romance,1948,3,57
25941,Letter from an Unknown Woman,Drama|Romance,1948,4,96
25947,Unfaithfully Yours,Comedy,1948,2,83
31973,Germany Year Zero (Germania anno zero) (Deutschland im Jahre Null),Drama|War,1948,5,84
126006,Rudolph the Red-Nosed Reindeer,Animation|Children|Fantasy,1948,5,97
963,"Inspector General, The",Musical,1948,8,52
1026,So Dear to My Heart,Children|Drama,1948,2,84
1942,All the King's Men,Drama,1948,1,52
2200,Under Capricorn,Drama,1948,3,53
3964,"Adventures of Ichabod and Mr. Toad, The",Animation|Children,1948,2,62
8263,Take Me Out to the Ball Game,Comedy|Musical|Romance,1948,1,71
8491,White Heat,Crime|Drama|Film-Noir,1948,10,95
8751,Gun Crazy (a.k.a. Deadly Is the Female),Crime|Drama|Film-Noir,1948,1,72
42217,Late Spring (Banshun),Drama,1948,8,68
115139,Challenge to Lassie,Children|Drama,1948,9,96
