movie,title,genres,year,Rating,RottenTomato
969,"African Queen, The",Adventure|Comedy|Romance|War,1951,2,71
1032,Alice in Wonderland,Adventure|Animation|Children|Fantasy|Musical,1951,4,84
3475,"Place in the Sun, A",Drama|Romance,1951,10,98
3657,Pandora and the Flying Dutchman,Drama,1951,1,96
3736,"Ace in the Hole (Big Carnival, The)",Drama,1951,7,79
5168,Royal Wedding,Comedy|Musical|Romance,1951,2,99
7195,"Enforcer, The",Crime|Drama|Film-Noir,1951,7,70
8187,On Moonlight Bay,Comedy|Musical,1951,9,78
8502,Show Boat,Drama|Musical|Romance,1951,9,66
8785,Early Summer (Bakushû),Drama,1951,7,71
1943,"Greatest Show on Earth, The",Drama,1951,3,99
3207,"Snows of Kilimanjaro, The",Adventure,1951,3,70
3314,"Big Trees, The",Action|Drama,1951,10,85
3559,Limelight,Comedy|Drama|Romance,1951,3,71
5114,"Bad and the Beautiful, The",Drama,1951,1,95
5470,The Importance of Being Earnest,Comedy|Romance,1951,7,82
6404,"White Sheik, The (Sceicco bianco, Lo)",Comedy|Romance,1951,4,87
6669,Ikiru,Drama,1951,8,61
6830,Sudden Fear,Film-Noir|Horror|Thriller,1951,8,68
7705,Pat and Mike,Comedy|Romance,1951,10,52
9012,Ruby Gentry,Drama,1951,3,88
25972,Clash by Night,Drama|Film-Noir,1951,9,95
47092,On Dangerous Ground,Crime|Drama|Film-Noir,1951,9,96
84098,Phone Call from a Stranger,Drama,1951,6,83
