movie,title,genres,year,Rating,RottenTomato
930,Notorious,Film-Noir|Romance|Thriller,1946,5,85
1284,"Big Sleep, The",Crime|Film-Noir|Mystery,1946,5,63
1939,"Best Years of Our Lives, The",Drama|War,1946,3,63
2927,Brief Encounter,Drama|Romance,1946,4,66
2940,Gilda,Drama|Film-Noir|Mystery|Romance,1946,4,85
3792,Duel in the Sun,Drama|Romance|Western,1946,10,88
3965,"Strange Love of Martha Ivers, The",Drama|Film-Noir,1946,6,78
5233,Road to Utopia,Comedy,1946,7,59
5375,"Harvey Girls, The",Comedy|Musical|Western,1946,3,75
7210,My Darling Clementine,Western,1946,9,100
7728,"Postman Always Rings Twice, The",Crime|Drama|Film-Noir|Thriller,1946,2,100
8208,"Razor's Edge, The",Drama,1946,10,64
8766,Black Angel,Drama|Film-Noir|Mystery,1946,8,76
25920,"Blue Dahlia, The",Crime|Drama|Film-Noir|Mystery|Thriller,1946,3,85
25927,"Stranger, The",Drama|Film-Noir|Thriller,1946,5,83
33760,Anna and the King of Siam,Drama|Romance,1946,10,81
47728,Green for Danger,Crime|Mystery,1946,1,100
68872,Paisan (Paisà),Drama|War,1946,8,100
964,Angel and the Badman,Romance|Western,1946,8,91
2066,Out of the Past,Film-Noir,1946,7,66
2201,"Paradine Case, The",Drama,1946,8,53
3349,"Perils of Pauline, The",Comedy,1946,3,71
3632,Monsieur Verdoux,Comedy|Crime,1946,9,66
3759,Fun and Fancy Free,Animation|Children|Musical,1946,8,96
5167,My Favorite Brunette,Comedy|Mystery,1946,2,60
6047,Dead Reckoning,Drama|Film-Noir|Mystery,1946,9,69
6467,Quai des Orfèvres (Jenny Lamour),Crime|Drama,1946,10,78
6603,"Double Life, A",Crime|Drama|Film-Noir,1946,9,93
7217,Dark Passage,Crime|Drama|Film-Noir|Romance|Thriller,1946,1,50
7826,"Secret Life of Walter Mitty, The",Comedy|Romance|Thriller,1946,4,89
8338,Black Narcissus,Drama,1946,2,95
8420,Possessed,Drama|Film-Noir,1946,1,57
8611,"Farmer's Daughter, The",Comedy,1946,3,84
8695,"Bachelor and the Bobby-Soxer, The",Comedy,1946,9,58
