movie,title,genres,year,Rating,RottenTomato
854,"Ballad of Narayama, The (Narayama Bushiko)",Drama,1958,10,78
903,Vertigo,Drama|Mystery|Romance|Thriller,1958,5,57
2454,"Fly, The",Horror|Mystery|Sci-Fi,1958,3,95
3368,"Big Country, The",Romance|Western,1958,1,54
3405,"Night to Remember, A",Action|Drama,1958,5,77
3548,Auntie Mame,Comedy|Drama,1958,1,79
4798,Indiscreet,Comedy|Romance,1958,10,70
4948,I Bury the Living,Horror,1958,3,97
4998,"Defiant Ones, The",Adventure|Crime|Drama|Thriller,1958,7,98
5836,Houseboat,Comedy|Romance,1958,9,68
6452,"Long, Hot Summer, The",Drama,1958,3,73
6630,"Inn of the Sixth Happiness, The",Adventure|Drama,1958,8,65
8989,Damn Yankees!,Comedy|Musical,1958,2,51
74630,Tom Thumb,Children|Fantasy|Musical,1958,9,86
908,North by Northwest,Action|Adventure|Mystery|Romance|Thriller,1958,1,89
1924,Plan 9 from Outer Space,Horror|Sci-Fi,1958,3,64
2043,Darby O'Gill and the Little People,Adventure|Children|Fantasy,1958,10,55
2519,House on Haunted Hill,Drama|Horror|Thriller,1958,8,67
2634,"Mummy, The",Horror,1958,5,60
2669,Pork Chop Hill,War,1958,5,71
2731,"400 Blows, The (Les quatre cents coups)",Crime|Drama,1958,10,52
2781,"Tingler, The",Horror,1958,6,59
3171,Room at the Top,Drama,1958,2,59
3872,"Suddenly, Last Summer",Drama,1958,8,66
4329,Rio Bravo,Western,1958,9,56
4802,Operation Petticoat,Action|Comedy|Romance|War,1958,9,60
5383,"Hound of the Baskervilles, The",Crime|Horror|Mystery,1958,10,100
6561,"Mouse That Roared, The",Comedy|War,1958,6,81
7131,"Summer Place, A",Drama,1958,4,57
7180,Odds Against Tomorrow,Crime|Drama|Thriller,1958,6,88
7303,The Diary of Anne Frank,Drama|War,1958,1,83
8484,"Human Condition I, The (Ningen no joken I)",Drama|War,1958,8,86
34608,"Best of Everything, The",Drama|Romance,1958,1,63
41336,Nazarin (Nazarín),Drama,1958,1,68
47287,Compulsion,Crime|Drama|Thriller,1958,6,82
