movie,title,genres,year,Rating,RottenTomato
1033,"Fox and the Hound, The",Animation|Children|Drama,1981,6,81
1124,On Golden Pond,Drama,1981,2,97
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),Action|Adventure,1981,6,88
1335,Blood Beach,Horror|Mystery,1981,9,61
1663,Stripes,Comedy|War,1981,9,54
1983,Halloween II,Horror,1981,7,93
2044,"Devil and Max Devlin, The",Comedy|Fantasy,1981,1,88
2254,Choices,Drama,1981,5,56
2639,Mommie Dearest,Drama,1981,9,52
2790,"Final Conflict, The (a.k.a. Omen III: The Final Conflict)",Horror|Thriller,1981,2,90
2872,Excalibur,Adventure|Fantasy,1981,6,63
2878,Hell Night,Horror,1981,4,57
2917,Body Heat,Crime|Thriller,1981,2,63
2929,Reds,Drama|Romance,1981,2,83
2989,For Your Eyes Only,Action|Adventure|Thriller,1981,7,57
3029,Nighthawks,Action|Drama,1981,3,73
3036,"Quest for Fire (Guerre du feu, La)",Adventure|Drama,1981,9,95
3048,Under the Rainbow,Comedy,1981,3,97
3397,"Great Muppet Caper, The",Children|Comedy,1981,6,74
3524,Arthur,Comedy|Romance,1981,7,98
3621,Possession,Drama|Horror,1981,6,83
3679,"Decline of Western Civilization, The",Documentary|Musical,1981,9,71
3703,"Road Warrior, The (Mad Max 2)",Action|Adventure|Sci-Fi|Thriller,1981,1,65
3725,American Pop,Animation|Musical,1981,2,90
3731,Cutter's Way,Drama|Thriller,1981,10,97
3734,Prince of the City,Drama,1981,10,69
3971,"Private Eyes, The",Comedy|Mystery,1981,10,82
4105,"Evil Dead, The",Fantasy|Horror|Thriller,1981,2,86
4179,Pixote,Drama,1981,9,86
4396,"Cannonball Run, The",Action|Comedy,1981,3,76
4415,Cheech & Chong's Nice Dreams,Comedy,1981,4,81
4417,"House by the Cemetery, The (Quella villa accanto al cimitero)",Horror,1981,10,100
4696,"Zorro, the Gay Blade",Comedy,1981,2,70
4784,"French Lieutenant's Woman, The",Drama,1981,8,56
5203,The Monster Club,Comedy|Horror,1981,2,97
5210,"Burial Ground (a.k.a. Zombie Horror) (a.k.a. Zombie 3) (Notti del Terrore, Le)",Horror,1981,3,74
5237,Taps,Drama,1981,1,82
5427,Caveman,Comedy,1981,1,97
5518,Beau Pere (a.k.a. Stepfather) (Beau-père),Drama,1981,6,83
5707,Absence of Malice,Drama|Romance,1981,5,93
5715,"Burning, The",Horror,1981,4,100
5729,Endless Love,Drama|Romance,1981,9,94
5732,Eye of the Needle,Thriller,1981,5,58
5734,Faces of Death 2,Documentary|Horror,1981,4,94
5742,First Monday in October,Comedy|Drama,1981,5,54
5747,Gallipoli,Drama|War,1981,3,50
5752,Gregory's Girl,Comedy|Romance,1981,6,97
5768,Modern Problems,Comedy|Fantasy,1981,10,99
5772,My Dinner with André,Drama,1981,8,75
5777,Pennies from Heaven,Musical|Romance,1981,5,91
5780,Polyester,Comedy,1981,3,88
5846,Raggedy Man,Drama,1981,5,81
5864,"Tarzan, the Ape Man",Adventure,1981,1,59
5866,They All Laughed,Comedy,1981,7,85
5914,"Vernon, Florida",Documentary,1981,4,86
541,Blade Runner,Action|Sci-Fi|Thriller,1981,2,95
1326,Amityville II: The Possession,Horror,1981,2,84
1587,Conan the Barbarian,Action|Adventure|Fantasy,1981,6,100
1976,Friday the 13th Part 3: 3D,Horror,1981,3,89
1984,Halloween III: Season of the Witch,Horror,1981,2,79
1994,Poltergeist,Horror|Thriller,1981,1,76
2068,Fanny and Alexander (Fanny och Alexander),Drama|Fantasy|Mystery,1981,7,100
2104,Tex,Drama,1981,4,62
2139,"Secret of NIMH, The",Adventure|Animation|Children|Drama,1981,1,82
2140,"Dark Crystal, The",Adventure|Fantasy,1981,6,91
2255,Young Doctors in Love,Comedy,1981,7,81
2256,Parasite,Horror|Sci-Fi,1981,4,81
2403,First Blood (Rambo: First Blood),Action|Adventure|Drama|Thriller,1981,1,76
2410,Rocky III,Action|Drama,1981,5,91
2659,It Came from Hollywood,Comedy|Documentary,1981,5,54
2792,Airplane II: The Sequel,Comedy,1981,9,89
3047,Experience Preferred... But Not Essential,Drama,1981,4,93
3543,Diner,Comedy|Drama,1981,5,59
3688,Porky's,Comedy,1981,8,71
4039,Annie,Children|Musical,1981,6,64
4280,"World According to Garp, The",Comedy|Drama|Romance,1981,1,69
4361,Tootsie,Comedy|Romance,1981,6,69
4535,"Man from Snowy River, The",Drama|Romance|Western,1981,3,90
4915,"Beastmaster, The",Action|Adventure|Fantasy,1981,8,82
4929,"Toy, The",Comedy,1981,2,86
5038,"Flight of Dragons, The",Adventure|Animation|Children|Drama|Fantasy,1981,1,68
5778,Pieces (Mil gritos tiene la noche) (One Thousand Cries Has the Night),Horror|Mystery|Thriller,1981,3,97
5926,Best Friends,Comedy|Drama|Romance,1981,8,66
5933,Cannery Row,Drama,1981,10,80
5936,"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean",Drama,1981,2,76
6037,Summer Lovers,Comedy|Drama|Romance,1981,2,88
6077,Evil Under the Sun,Crime|Drama|Mystery,1981,5,51
6084,Honkytonk Man,Comedy|Drama,1981,5,79
6092,"Last American Virgin, The",Comedy|Drama,1981,6,65
6093,"Last Unicorn, The",Animation|Children|Fantasy,1981,4,77
6095,Dragon Lord (a.k.a. Dragon Strike) (Long Xiao Ye),Action,1981,8,80
6104,Monty Python Live at the Hollywood Bowl,Comedy,1981,1,60
6105,Moonlighting,Drama,1981,3,56
6115,Personal Best,Drama,1981,6,83
6121,Querelle,Drama,1981,8,92
6122,Richard Pryor Live on the Sunset Strip,Comedy|Documentary,1981,8,78
6127,Shoot the Moon,Drama,1981,4,59
6133,"State of Things, The (Stand der Dinge, Der)",Drama,1981,9,87
6143,Trail of the Pink Panther,Comedy|Crime,1981,9,63
32840,Vincent,Animation,1981,10,59
58904,Chan Is Missing,Crime,1981,3,97
102252,Legendary Weapons of China,Action|Adventure,1981,10,96
128846,An Evening with Robin Williams,Comedy,1981,4,69
