movie,title,genres,year,Rating,RottenTomato
1202,Withnail & I,Comedy,1987,4,66
1255,Bad Taste,Comedy|Horror|Sci-Fi,1987,2,69
1960,"Last Emperor, The",Drama,1987,8,83
1988,Prom Night II,Horror|Thriller,1987,6,62
2000,Lethal Weapon,Action|Comedy|Crime|Drama,1987,3,62
2133,Adventures in Babysitting,Adventure|Comedy,1987,4,51
2164,Surf Nazis Must Die,Action|Comedy|Drama|Horror,1987,1,76
2243,Broadcast News,Comedy|Drama|Romance,1987,4,88
2449,"Garbage Pail Kids Movie, The",Adventure|Children|Comedy,1987,7,98
2751,From the Hip,Comedy|Drama,1987,8,99
2972,Red Sorghum (Hong gao liang),Drama|War,1987,2,87
3042,Meatballs III,Comedy,1987,3,98
3090,Matewan,Drama,1987,5,97
3101,Fatal Attraction,Drama|Thriller,1987,1,76
3329,The Year My Voice Broke,Drama|Romance,1987,10,74
3388,Harry and the Hendersons,Children|Comedy,1987,10,91
3393,Date with an Angel,Comedy|Fantasy|Romance,1987,7,95
3394,Blind Date,Comedy|Romance,1987,10,83
3478,"Bamba, La",Drama,1987,4,74
3505,No Way Out,Drama|Mystery|Thriller,1987,10,71
3547,Prick Up Your Ears,Comedy|Drama,1987,6,53
3673,Benji the Hunted,Adventure|Children,1987,8,81
3706,Angel Heart,Film-Noir|Horror|Mystery|Thriller,1987,2,63
3716,Fatal Beauty,Action|Comedy|Crime|Drama,1987,10,97
3727,Near Dark,Horror|Western,1987,6,58
3939,Slumber Party Massacre II,Horror,1987,7,75
4002,"Planes, Trains & Automobiles",Comedy,1987,6,71
4005,"Living Daylights, The",Action|Adventure|Thriller,1987,1,61
4079,Amazon Women on the Moon,Comedy|Sci-Fi,1987,2,76
4081,Back to the Beach,Comedy,1987,5,94
4088,"Big Town, The",Drama|Romance|Thriller,1987,5,62
4101,Dogs in Space,Drama,1987,7,55
4104,Ernest Goes to Camp,Comedy,1987,10,96
4108,Five Corners,Drama,1987,4,67
4114,"Good Morning, Babylon",Drama,1987,2,64
4115,Hiding Out,Comedy,1987,6,85
4116,Hollywood Shuffle,Comedy,1987,5,59
4121,Innerspace,Action|Adventure|Comedy|Sci-Fi,1987,8,50
4123,Ishtar,Comedy,1987,6,54
4124,Jaws: The Revenge,Horror|Thriller,1987,9,64
4130,Maid to Order,Comedy|Fantasy,1987,2,62
4133,Masters of the Universe,Action|Adventure|Fantasy|Sci-Fi,1987,5,73
4135,"Monster Squad, The",Adventure|Comedy|Horror,1987,2,93
4136,"Month in the Country, A",Drama,1987,3,77
4139,No Man's Land,Crime|Drama,1987,9,75
4140,North Shore,Drama|Romance,1987,10,91
4297,Pelle the Conqueror (Pelle erobreren),Drama,1987,6,83
4529,Bagdad Cafe (Out of Rosenheim),Comedy|Drama,1987,9,78
5308,Three Men and a Baby,Comedy,1987,5,71
5521,"Principal, The",Action|Crime|Drama,1987,9,92
6525,Nuts,Drama,1987,2,61
6791,Babette's Feast (Babettes gæstebud),Drama,1987,7,72
6816,Three O'Clock High,Comedy,1987,2,59
7026,Summer School,Comedy,1987,2,89
7046,"Witches of Eastwick, The",Comedy|Fantasy|Horror|Thriller,1987,9,88
7102,Dragnet,Comedy|Crime|Drama,1987,9,99
7198,The Pick-up Artist,Comedy|Crime|Drama|Romance,1987,8,61
7305,Black Widow,Crime|Drama|Mystery|Thriller,1987,1,64
7478,Swimming to Cambodia,Drama,1987,8,91
7987,Dolls,Horror,1987,8,100
8169,*batteries not included,Children|Comedy|Fantasy|Sci-Fi,1987,2,85
8574,"Claymation Christmas Celebration, A",Animation|Children|Comedy|Musical,1987,3,78
8614,Overboard,Comedy|Romance,1987,3,71
8623,Roxanne,Comedy|Romance,1987,9,83
26599,"Law of Desire (Ley del deseo, La)",Comedy|Drama|Romance,1987,6,74
51207,Street Trash,Comedy|Horror,1987,5,76
74282,Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea),Children|Drama|Romance,1987,2,66
95147,Dragon Ball: Sleeping Princess in Devil's Castle (Doragon bôru: Majinjô no nemuri hime),Action|Adventure|Animation|Children,1987,4,94
103813,Miami Connection,Action|Crime,1987,3,63
709,Oliver & Company,Adventure|Animation|Children|Comedy|Musical,1987,10,91
1216,"Big Blue, The (Grand bleu, Le)",Adventure|Drama|Romance,1987,4,85
1274,Akira,Action|Adventure|Animation|Sci-Fi,1987,9,80
1295,"Unbearable Lightness of Being, The",Drama,1987,6,63
1378,Young Guns,Action|Comedy|Western,1987,8,55
1961,Rain Man,Drama,1987,10,68
1980,Friday the 13th Part VII: The New Blood,Horror,1987,3,74
1991,Child's Play,Horror|Thriller,1987,8,90
1996,Poltergeist III,Horror|Thriller,1987,6,82
2020,Dangerous Liaisons,Drama|Romance,1987,7,80
2193,Willow,Action|Adventure|Fantasy,1987,5,54
2245,Working Girl,Comedy|Drama|Romance,1987,10,50
2404,Rambo III,Action|Adventure|Thriller|War,1987,6,68
2471,Crocodile Dundee II,Action|Adventure|Comedy,1987,8,78
2551,Dead Ringers,Drama|Horror|Thriller,1987,10,66
2802,Tequila Sunrise,Action|Drama|Romance|Thriller,1987,5,54
2816,Iron Eagle II,Action|War,1987,1,75
2868,Fright Night Part II,Horror,1987,10,86
3067,Women on the Verge of a Nervous Breakdown (Mujeres al borde de un ataque de nervios),Comedy|Drama,1987,1,53
3071,Stand and Deliver,Comedy|Drama,1987,5,81
3138,Stealing Home,Drama,1987,4,90
3197,"Presidio, The",Action|Crime|Romance|Thriller,1987,10,58
3343,And God Created Woman,Comedy|Drama|Romance,1987,6,60
3370,Betrayed,Drama|Thriller,1987,3,73
3423,School Daze,Drama,1987,5,98
3444,Bloodsport,Action,1987,8,73
3449,"Good Mother, The",Drama,1987,4,96
3496,Madame Sousatzka,Drama,1987,1,88
3680,"Decline of Western Civilization Part II: The Metal Years, The",Documentary,1987,5,79
3687,Light Years (Gandahar),Adventure|Animation|Fantasy|Sci-Fi,1987,8,91
3714,Clara's Heart,Drama,1987,2,53
3768,Braddock: Missing in Action III,Action|War,1987,9,71
3837,Phantasm II,Action|Fantasy|Horror|Sci-Fi|Thriller,1987,9,54
3840,Pumpkinhead,Horror,1987,5,55
3868,"Naked Gun: From the Files of Police Squad!, The",Action|Comedy|Crime|Romance,1987,10,66
3918,Hellbound: Hellraiser II,Horror,1987,10,100
4009,Talk Radio,Drama,1987,8,50
4012,Punchline,Comedy|Drama,1987,10,66
4322,Eight Men Out,Drama,1987,6,60
4326,Mississippi Burning,Crime|Drama|Thriller,1987,6,64
4465,"Accused, The",Drama,1987,5,96
4467,"Adventures of Baron Munchausen, The",Adventure|Comedy|Fantasy,1987,8,68
4469,Appointment with Death,Crime|Mystery,1987,2,97
4471,Arthur 2: On the Rocks,Comedy|Romance,1987,5,94
4473,Bat*21,Drama|War,1987,5,88
4479,Bird,Drama|Musical,1987,10,69
4480,"Blob, The",Horror|Sci-Fi,1987,1,100
4483,Caddyshack II,Comedy,1987,2,62
4486,Clean and Sober,Drama,1987,8,75
4487,Cocktail,Drama|Romance,1987,9,56
4489,Coming to America,Comedy|Romance,1987,7,55
4495,Crossing Delancey,Comedy|Romance,1987,3,56
4496,D.O.A.,Film-Noir|Mystery|Thriller,1987,3,100
4498,"Dead Pool, The",Action|Crime|Thriller,1987,7,92
4499,Dirty Rotten Scoundrels,Comedy,1987,10,70
4508,Gorillas in the Mist,Drama,1987,2,98
4516,Johnny Be Good,Comedy,1987,10,96
