movie,title,genres,year,Rating,RottenTomato
589,Terminator 2: Judgment Day,Action|Sci-Fi,1991,9,64
620,Scream of Stone (Cerro Torre: Schrei aus Stein),Drama,1991,7,69
1093,"Doors, The",Drama,1991,7,90
1176,"Double Life of Veronique, The (Double Vie de Véronique, La)",Drama|Fantasy|Romance,1991,10,62
1180,Hear My Song,Comedy,1991,5,70
1279,Night on Earth,Comedy|Drama,1991,5,98
1973,"Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A)",Horror,1991,4,97
1993,Child's Play 3,Comedy|Horror|Thriller,1991,9,97
2024,"Rapture, The",Drama|Mystery,1991,7,52
2112,Grand Canyon,Crime|Drama,1991,7,65
2142,"American Tail: Fievel Goes West, An",Adventure|Animation|Children|Musical|Western,1991,9,84
2266,"Butcher's Wife, The",Comedy|Romance,1991,9,77
2267,Mortal Thoughts,Mystery|Thriller,1991,10,60
3044,Dead Again,Mystery|Romance|Thriller,1991,1,90
3108,"Fisher King, The",Comedy|Drama|Fantasy|Romance,1991,8,90
3358,Defending Your Life,Comedy|Drama|Fantasy|Romance,1991,4,50
3386,JFK,Drama|Mystery|Thriller,1991,8,74
3437,Cool as Ice,Drama,1991,3,50
3489,Hook,Adventure|Comedy|Fantasy,1991,2,65
3661,Puppet Master II,Horror|Sci-Fi|Thriller,1991,1,88
3662,Puppet Master III: Toulon's Revenge,Horror|Sci-Fi|Thriller,1991,6,52
3712,Soapdish,Comedy,1991,1,56
3774,House Party 2,Comedy|Drama|Romance,1991,8,79
3869,"Naked Gun 2 1/2: The Smell of Fear, The",Comedy,1991,5,69
4040,Don't Tell Mom the Babysitter's Dead,Comedy,1991,4,100
4321,City Slickers,Comedy|Western,1991,1,91
4351,Point Break,Action|Crime|Thriller,1991,8,90
4409,Shadows and Fog,Comedy|Drama|Mystery|Thriller,1991,2,93
4862,Not Without My Daughter,Drama,1991,8,78
4980,Bill & Ted's Bogus Journey,Adventure|Comedy|Fantasy|Sci-Fi,1991,8,64
5018,Motorama,Adventure|Comedy|Crime|Drama|Fantasy|Mystery|Sci-Fi|Thriller,1991,6,87
5034,"Truly, Madly, Deeply",Drama|Romance,1991,9,76
5279,Impromptu,Comedy|Romance,1991,3,64
5359,Rambling Rose,Drama,1991,9,88
5361,White Fang,Adventure,1991,9,82
5366,Whore,Drama,1991,10,67
5561,True Colors,Drama,1991,2,76
5689,Billy Bathgate,Crime|Drama,1991,3,86
5841,Return to the Blue Lagoon,Adventure|Romance,1991,5,75
5970,My Girl,Comedy|Drama|Romance,1991,6,63
6027,Dogfight,Drama|Romance,1991,7,91
6240,One Good Cop,Action|Crime|Drama,1991,6,57
6318,"Marrying Man, The (Too Hot to Handle)",Comedy|Romance,1991,7,65
6440,Barton Fink,Drama|Thriller,1991,3,90
6466,Mississippi Masala,Drama|Romance,1991,1,82
6476,Shattered,Mystery|Thriller,1991,9,78
6721,Once Upon a Time in China (Wong Fei Hung),Action|Adventure|Drama,1991,4,55
6832,Regarding Henry,Drama,1991,4,89
7007,"Last Boy Scout, The",Action|Comedy|Crime|Drama|Thriller,1991,1,94
7101,Doc Hollywood,Comedy|Romance,1991,3,67
7123,Naked Lunch,Drama|Fantasy|Mystery|Sci-Fi,1991,1,94
8158,Rush,Crime|Drama,1991,3,97
8580,Into the Woods,Adventure|Comedy|Fantasy|Musical,1991,1,58
8935,All I Want for Christmas,Children|Comedy|Romance,1991,1,83
26712,35 Up,Documentary,1991,6,54
26726,Dutch,Comedy,1991,3,73
26736,Riki-Oh: The Story of Ricky (Lik Wong),Action|Crime|Thriller,1991,9,74
26749,Prospero's Books,Drama|Fantasy,1991,8,75
26775,Johnny Suede,Comedy|Musical|Romance,1991,1,90
32464,City of Hope,Drama,1991,4,98
46544,Edward II,Drama,1991,3,57
66915,Rock-A-Doodle,Adventure|Animation|Children|Musical,1991,2,60
95475,Dragon Ball Z: Cooler's Revenge (Doragon bôru Z 5: Tobikkiri no saikyô tai saikyô),Action|Adventure|Animation,1991,1,100
118334,Omen IV: The Awakening,Horror|Mystery|Thriller,1991,3,93
145307,Strictly Business,Comedy|Romance,1991,2,58
122,Boomerang,Comedy|Romance,1991,10,92
347,Bitter Moon,Drama|Film-Noir|Romance,1991,2,54
506,Orlando,Drama|Fantasy|Romance,1991,8,54
522,Romper Stomper,Action|Drama,1991,1,68
588,Aladdin,Adventure|Animation|Children|Comedy|Musical,1991,5,70
861,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha),Action|Comedy|Crime|Thriller,1991,8,80
1094,"Crying Game, The",Drama|Romance|Thriller,1991,9,57
1095,Glengarry Glen Ross,Drama,1991,1,50
1177,Enchanted April,Drama|Romance,1991,2,81
1241,Dead Alive (Braindead),Comedy|Fantasy|Horror,1991,1,97
1320,Alien³ (a.k.a. Alien 3),Action|Horror|Sci-Fi|Thriller,1991,8,50
1322,Amityville 1992: It's About Time,Horror,1991,3,52
1339,Dracula (Bram Stoker's Dracula),Fantasy|Horror|Romance|Thriller,1991,10,91
1342,Candyman,Horror|Thriller,1991,7,88
1377,Batman Returns,Action|Crime,1991,9,55
1385,Under Siege,Action|Drama|Thriller,1991,9,58
2002,Lethal Weapon 3,Action|Comedy|Crime|Drama,1991,3,97
2082,"Mighty Ducks, The",Children|Comedy,1991,8,76
2084,Newsies,Children|Musical,1991,2,79
2252,Hero,Comedy|Drama,1991,3,72
2289,"Player, The",Comedy|Crime|Drama,1991,8,79
2514,Pet Sematary II,Comedy|Horror,1991,6,51
2582,Twin Dragons (Shuang long hui),Action|Comedy,1991,6,59
2808,Universal Soldier,Action|Sci-Fi,1991,5,95
2817,Aces: Iron Eagle III,Action,1991,10,51
2822,Medicine Man,Adventure|Romance,1991,4,98
2943,Indochine,Drama|Romance,1991,4,67
2953,Home Alone 2: Lost in New York,Children|Comedy,1991,1,66
3246,Malcolm X,Drama,1991,5,54
3249,"Hand That Rocks the Cradle, The",Drama|Thriller,1991,6,78
3253,Wayne's World,Comedy,1991,9,69
3256,Patriot Games,Action|Crime|Drama|Thriller,1991,7,93
3257,"Bodyguard, The",Drama|Romance|Thriller,1991,5,95
3261,Singles,Comedy|Drama|Romance,1991,4,64
3264,Buffy the Vampire Slayer,Action|Comedy|Horror,1991,2,71
3266,Man Bites Dog (C'est arrivé près de chez vous),Comedy|Crime|Drama|Thriller,1991,2,54
3267,"Mariachi, El",Action|Crime|Thriller|Western,1991,9,66
3268,Stop! Or My Mom Will Shoot,Action|Comedy,1991,3,73
3269,Forever Young,Drama|Romance|Sci-Fi,1991,1,70
3495,Roadside Prophets,Comedy|Drama,1991,1,53
3500,Mr. Saturday Night,Comedy|Drama,1991,5,100
3544,Shakes the Clown,Comedy,1991,7,85
3557,Jennifer 8,Mystery|Thriller,1991,6,66
3669,Stay Tuned,Comedy,1991,9,93
3709,Sleepwalkers,Horror,1991,8,82
3728,One False Move,Crime|Drama|Film-Noir|Thriller,1991,9,73
3810,White Sands,Drama|Thriller,1991,8,59
4060,Love Field,Drama,1991,3,62
4317,Love Potion #9,Comedy|Romance,1991,9,62
6022,American Me,Drama,1991,8,74
6423,Straight Talk,Comedy,1991,5,71
6468,"Stranger Among Us, A",Crime|Drama|Romance,1991,2,95
6850,Leap of Faith,Comedy|Drama,1991,5,90
6851,"Gas, Food, Lodging",Drama|Romance,1991,2,69
6999,Housesitter,Comedy|Romance,1991,1,53
7009,Lorenzo's Oil,Drama,1991,2,69
7010,"Lover, The (Amant, L')",Drama|Romance,1991,8,97
7017,Passenger 57,Action|Thriller,1991,1,54
7025,"Midnight Clear, A",Drama|War,1991,2,56
7179,Wuthering Heights,Drama|Romance,1991,4,84
7228,Cool World,Animation|Comedy|Fantasy,1991,5,78
7620,Monster in a Box,Comedy|Drama,1991,2,86
8010,"Power of One, The",Drama,1991,8,68
8132,Gladiator,Action|Drama,1991,10,52
26737,Light Sleeper,Crime|Drama,1991,2,77
26776,Porco Rosso (Crimson Pig) (Kurenai no buta),Adventure|Animation|Comedy|Fantasy|Romance,1991,5,90
26782,"Mambo Kings, The",Drama|Musical,1991,6,52
26784,Night and the City,Crime|Drama,1991,5,100
26788,"Story of Qiu Ju, The (Qiu Ju da guan si)",Comedy|Drama,1991,10,53
26791,Shining Through,Drama|Romance|Thriller|War,1991,5,89
79469,"Northerners, The (De noorderlingen)",Comedy,1991,5,99
118890,Bill Hicks: Relentless,Comedy,1991,5,100
