movie,title,genres,year,Rating,RottenTomato
907,"Gay Divorcee, The",Comedy|Musical|Romance,1934,4,72
950,"Thin Man, The",Comedy|Crime,1934,1,97
3086,Babes in Toyland,Children|Comedy|Fantasy|Musical,1934,1,95
5097,Bright Eyes,Comedy|Drama,1934,1,60
32160,Twentieth Century,Comedy,1934,1,73
70121,'Neath the Arizona Skies,Western,1934,4,88
98458,Baby Take a Bow,Children|Comedy|Drama,1934,3,98
1340,"Bride of Frankenstein, The (Bride of Frankenstein)",Drama|Horror|Sci-Fi,1934,6,53
7132,"Night at the Opera, A",Comedy|Musical|Romance,1934,8,62
87383,Curly Top,Children|Musical|Romance,1934,5,91
91286,"Little Colonel, The",Children|Comedy|Crime|Drama,1934,3,54
99085,Our Little Girl,Comedy|Drama|Romance,1934,6,67
