movie,title,genres,year,Rating,RottenTomato
670,"World of Apu, The (Apur Sansar)",Drama,1959,8,52
841,"Eyes Without a Face (Yeux sans visage, Les)",Horror,1959,5,60
910,Some Like It Hot,Comedy|Crime,1959,10,93
1016,"Shaggy Dog, The",Children|Comedy,1959,8,100
1287,Ben-Hur,Action|Adventure|Drama,1959,7,75
2096,Sleeping Beauty,Animation|Children|Musical,1959,1,76
3379,On the Beach,Drama,1959,8,58
3801,Anatomy of a Murder,Drama|Mystery,1959,3,65
3923,Return of the Fly,Horror|Sci-Fi,1959,9,70
3933,"Killer Shrews, The",Horror|Sci-Fi,1959,10,91
6031,Imitation of Life,Drama|Romance,1959,8,94
6183,Pillow Talk,Comedy|Musical|Romance,1959,8,59
6239,Journey to the Center of the Earth,Adventure|Children|Sci-Fi,1959,2,100
7088,Black Orpheus (Orfeu Negro),Drama|Romance,1959,10,71
7916,Gidget,Comedy,1959,3,63
8137,"Wasp Woman, The",Horror|Sci-Fi,1959,9,66
8138,Attack of the Giant Leeches,Horror|Sci-Fi,1959,5,80
8197,Hiroshima Mon Amour,Drama|Romance|War,1959,1,89
26052,Pickpocket,Crime|Drama,1959,4,51
123695,The Story on Page One,Drama,1959,3,98
659,Purple Noon (Plein soleil),Crime|Drama|Thriller,1959,6,64
1219,Psycho,Crime|Horror,1959,10,85
2079,Kidnapped,Adventure|Children|Drama,1959,2,63
2553,Village of the Damned,Horror|Sci-Fi|Thriller,1959,4,58
2747,"Little Shop of Horrors, The",Comedy|Horror,1959,1,61
3205,Black Sunday (La maschera del demonio),Horror,1959,6,51
3602,G.I. Blues,Comedy|Musical|Romance,1959,5,99
3959,"Time Machine, The",Action|Adventure|Sci-Fi,1959,9,98
4042,"Alamo, The",Action|Drama|War|Western,1959,9,61
4051,Horrors of Spider Island (Ein Toter Hing im Netz),Horror|Sci-Fi,1959,6,58
4327,"Magnificent Seven, The",Adventure|Western,1959,5,97
4796,"Grass Is Greener, The",Comedy|Romance,1959,8,84
5119,Saturday Night and Sunday Morning,Drama,1959,8,90
6449,From the Terrace,Drama,1959,5,72
6461,"Unforgiven, The",Drama|Western,1959,5,53
7207,Where the Boys Are,Comedy,1959,8,76
7245,Tormented,Horror|Thriller,1959,3,54
8617,Butterfield 8,Drama,1959,5,68
8986,"Bellboy, The",Comedy,1959,1,56
8988,Cinderfella,Comedy,1959,2,94
9001,"Wackiest Ship in the Army, The",Comedy|War,1959,7,72
32381,Bells Are Ringing,Comedy|Musical|Romance,1959,3,80
71404,"3 Worlds of Gulliver, The",Adventure|Fantasy,1959,9,61
