movie,title,genres,year,Rating,RottenTomato
1380,Grease,Comedy|Musical|Romance,1978,7,78
1388,Jaws 2,Horror|Thriller,1978,10,94
2038,"Cat from Outer Space, The",Children|Comedy|Sci-Fi,1978,2,68
2091,Return from Witch Mountain,Children|Sci-Fi,1978,10,91
2131,Autumn Sonata (Höstsonaten),Drama,1978,2,55
2138,Watership Down,Adventure|Animation|Children|Drama|Fantasy,1978,10,53
2163,Attack of the Killer Tomatoes!,Comedy|Horror,1978,7,75
2640,Superman,Action|Adventure|Sci-Fi,1978,4,74
2779,Heaven Can Wait,Comedy,1978,7,59
2789,Damien: Omen II,Horror,1978,3,70
2932,Days of Heaven,Drama,1978,8,91
3024,Piranha,Horror|Sci-Fi,1978,7,54
3204,"Boys from Brazil, The",Action|Mystery|Thriller,1978,5,70
3304,Blue Collar,Crime|Drama,1978,10,85
3421,Animal House,Comedy,1978,8,90
3498,Midnight Express,Drama,1978,5,81
3560,Empire of Passion (a.k.a. In the Realm of Passion) (a.k.a. Phantom Love) (Ai No Borei),Crime|Drama|Romance,1978,5,60
4201,"End, The",Comedy,1978,6,73
4212,Death on the Nile,Crime|Mystery,1978,9,81
4705,"Cage aux Folles, La",Comedy,1978,7,81
4925,"Cheap Detective, The",Comedy,1978,3,59
5087,Get Out Your Handkerchiefs (Préparez vos mouchoirs),Comedy|Drama|Romance,1978,2,59
5352,The Big Sleep,Thriller,1978,2,61
5382,Every Which Way But Loose,Comedy,1978,1,68
5385,"Last Waltz, The",Documentary,1978,7,64
5735,Faces of Death,Documentary|Horror,1978,7,80
5834,Fingers,Drama,1978,7,63
5891,I Spit on Your Grave (Day of the Woman),Horror|Thriller,1978,6,91
6779,"Same Time, Next Year",Comedy|Drama|Romance,1978,3,60
8499,Pretty Baby,Drama,1978,2,80
26404,In Praise of Older Women,Drama,1978,10,63
26414,"Wedding, A",Comedy|Drama,1978,6,80
51277,"36th Chamber of Shaolin, The (Shao Lin san shi liu fang) (Master Killer)",Action|Adventure,1978,4,82
1161,"Tin Drum, The (Blechtrommel, Die)",Drama|War,1978,1,83
1214,Alien,Horror|Sci-Fi,1978,7,56
1292,Being There,Comedy|Drama,1978,5,55
1327,"Amityville Horror, The",Drama|Horror|Mystery|Thriller,1978,1,54
1371,Star Trek: The Motion Picture,Adventure|Sci-Fi,1978,6,77
2016,"Apple Dumpling Gang Rides Again, The",Children|Comedy|Western,1978,6,90
2409,Rocky II,Action|Drama,1978,1,96
2526,Meteor,Sci-Fi,1978,9,72
2536,"Concorde: Airport '79, The",Drama,1978,6,93
2971,All That Jazz,Drama|Fantasy|Musical,1978,2,50
3396,"Muppet Movie, The",Adventure|Children|Comedy|Musical,1978,2,89
3420,...And Justice for All,Drama|Thriller,1978,8,86
3638,Moonraker,Action|Adventure|Sci-Fi|Thriller,1978,10,63
3804,H.O.T.S.,Comedy,1978,6,57
5544,Time After Time,Sci-Fi|Thriller,1978,3,93
5642,"Onion Field, The",Drama,1978,8,73
6170,"Black Stallion, The",Adventure|Children|Drama,1978,9,85
7698,"China Syndrome, The",Drama|Thriller,1978,10,57
7762,"Tinker, Tailor, Soldier, Spy",Drama|Thriller,1978,9,82
7764,"Driller Killer, The",Drama|Horror,1978,8,70
7948,Wise Blood,Comedy|Drama,1978,9,76
8253,Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro),Action|Adventure|Animation|Comedy|Crime|Mystery,1978,6,62
8340,Escape from Alcatraz,Drama|Thriller,1978,1,84
8923,Tess,Drama|Romance,1978,4,64
26422,Hair,Comedy|Drama|Musical,1978,9,60
26430,"Luna, La",Drama,1978,2,80
39941,"Love on the Run (Amour en fuite, L')",Comedy|Drama|Romance,1978,1,73
42163,Richard Pryor: Live in Concert,Comedy|Documentary,1978,1,75
68614,"Seduction of Joe Tynan, The",Drama,1978,8,79
120821,The War at Home,Documentary|War,1978,4,80
